category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month
anti-social-behaviour,Force,"{'latitude': '51.512945', 'street': {'id': 1678778, 'name': 'On or near Mercer Street'}, 'longitude': '-0.125926'}",,,,107820017,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.517287', 'street': {'id': 1678024, 'name': 'On or near '}, 'longitude': '-0.130403'}",,,,107819879,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510513', 'street': {'id': 1678829, 'name': 'On or near Bedford Court'}, 'longitude': '-0.125161'}",,,,107821358,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.517741', 'street': {'id': 1676209, 'name': 'On or near Langham Place'}, 'longitude': '-0.143126'}",,,,107821439,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516001', 'street': {'id': 1679229, 'name': 'On or near Macklin Street'}, 'longitude': '-0.122471'}",,,,107819822,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515753', 'street': {'id': 1676083, 'name': ""On or near John Prince's Street""}, 'longitude': '-0.143092'}",,,,107821461,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.512013', 'street': {'id': 1677575, 'name': 'On or near Winnett Street'}, 'longitude': '-0.133502'}",,,,107821677,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.513734', 'street': {'id': 1677787, 'name': 'On or near Dean Street'}, 'longitude': '-0.132595'}",,,,107821690,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.506985', 'street': {'id': 1678839, 'name': 'On or near Northumberland Avenue'}, 'longitude': '-0.124975'}",,,,107821718,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510468', 'street': {'id': 1678029, 'name': 'On or near Leicester Square'}, 'longitude': '-0.130769'}",,,,107821776,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510513', 'street': {'id': 1678829, 'name': 'On or near Bedford Court'}, 'longitude': '-0.125161'}",,,,107823252,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.517741', 'street': {'id': 1676209, 'name': 'On or near Langham Place'}, 'longitude': '-0.143126'}",,,,107822595,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510952', 'street': {'id': 1677471, 'name': 'On or near Great Windmill Street'}, 'longitude': '-0.134064'}",,,,107822499,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511623', 'street': {'id': 1678738, 'name': 'On or near Rose Street'}, 'longitude': '-0.125951'}",,,,107822404,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.494661', 'street': {'id': 1676997, 'name': 'On or near Coburg Close'}, 'longitude': '-0.137668'}",,,,107823259,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.509491', 'street': {'id': 1678539, 'name': 'On or near William Iv Street'}, 'longitude': '-0.125924'}",,,,107823303,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.512495', 'street': {'id': 1676635, 'name': 'On or near '}, 'longitude': '-0.138915'}",,,,107822262,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.520719', 'street': {'id': 1679428, 'name': 'On or near Boswell Street'}, 'longitude': '-0.121182'}",,,,107823374,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.508653', 'street': {'id': 1679156, 'name': 'On or near York Buildings'}, 'longitude': '-0.122975'}",,,,107823377,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.513205', 'street': {'id': 1678985, 'name': 'On or near Long Acre'}, 'longitude': '-0.124229'}",,,,107822141,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516623', 'street': {'id': 1677604, 'name': 'On or near '}, 'longitude': '-0.132976'}",,,,107823455,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.519092', 'street': {'id': 1679240, 'name': 'On or near Bloomsbury Square'}, 'longitude': '-0.122330'}",,,,107822104,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.519378', 'street': {'id': 1677300, 'name': 'On or near Goodge Street'}, 'longitude': '-0.135737'}",,,,107823480,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511856', 'street': {'id': 1678534, 'name': 'On or near Great Newport Street'}, 'longitude': '-0.127570'}",,,,107822068,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510953', 'street': {'id': 1677692, 'name': 'On or near '}, 'longitude': '-0.133012'}",,,,107823041,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.507182', 'street': {'id': 1678986, 'name': 'On or near Craven Street'}, 'longitude': '-0.124332'}",,,,107821954,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.504824', 'street': {'id': 1680380, 'name': 'On or near Concert Hall Approach'}, 'longitude': '-0.115222'}",,,,107821945,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.499126', 'street': {'id': 1676605, 'name': 'On or near Catherine Place'}, 'longitude': '-0.140252'}",,,,107823616,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.517741', 'street': {'id': 1676209, 'name': 'On or near Langham Place'}, 'longitude': '-0.143126'}",,,,107823645,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.518405', 'street': {'id': 1679695, 'name': 'On or near Procter Street'}, 'longitude': '-0.119302'}",,,,107821925,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.512802', 'street': {'id': 1679061, 'name': 'On or near James Street'}, 'longitude': '-0.123770'}",,,,107816184,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515869', 'street': {'id': 1679355, 'name': 'On or near Parker Street'}, 'longitude': '-0.121554'}",,,,107816121,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510513', 'street': {'id': 1678829, 'name': 'On or near Bedford Court'}, 'longitude': '-0.125161'}",,,,107816064,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.501941', 'street': {'id': 1680853, 'name': 'On or near Lower Road'}, 'longitude': '-0.112127'}",,,,107815958,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.495745', 'street': {'id': 1677734, 'name': 'On or near '}, 'longitude': '-0.132308'}",,,,107815953,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516623', 'street': {'id': 1677604, 'name': 'On or near '}, 'longitude': '-0.132976'}",,,,107823741,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510468', 'street': {'id': 1678029, 'name': 'On or near Leicester Square'}, 'longitude': '-0.130769'}",,,,107815845,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515939', 'street': {'id': 1677739, 'name': 'On or near Soho Street'}, 'longitude': '-0.132693'}",,,,107815757,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.500978', 'street': {'id': 1678704, 'name': 'On or near Bridge Street'}, 'longitude': '-0.125524'}",,,,107823747,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516295', 'street': {'id': 1678131, 'name': 'On or near '}, 'longitude': '-0.129487'}",,,,107823038,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515684', 'street': {'id': 1677259, 'name': 'On or near '}, 'longitude': '-0.135874'}",,,,107815613,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.493974', 'street': {'id': 1678689, 'name': 'On or near Thorney Street'}, 'longitude': '-0.126157'}",,,,107815555,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.505618', 'street': {'id': 1675459, 'name': 'On or near Hertford Street'}, 'longitude': '-0.148735'}",,,,107815526,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.518130', 'street': {'id': 1676977, 'name': 'On or near '}, 'longitude': '-0.137604'}",,,,107815414,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510729', 'street': {'id': 1677342, 'name': 'On or near Denman Street'}, 'longitude': '-0.135283'}",,,,107815400,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.506985', 'street': {'id': 1678839, 'name': 'On or near Northumberland Avenue'}, 'longitude': '-0.124975'}",,,,107823814,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.507725', 'street': {'id': 1678750, 'name': 'On or near Corner House Street'}, 'longitude': '-0.125708'}",,,,107815378,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.512449', 'street': {'id': 1680063, 'name': 'On or near Surrey Street'}, 'longitude': '-0.115772'}",,,,107815277,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511790', 'street': {'id': 1677744, 'name': 'On or near A401'}, 'longitude': '-0.132459'}",,,,107823879,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.507725', 'street': {'id': 1678750, 'name': 'On or near Corner House Street'}, 'longitude': '-0.125708'}",,,,107815209,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.509491', 'street': {'id': 1678539, 'name': 'On or near William Iv Street'}, 'longitude': '-0.125924'}",,,,107815201,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.500253', 'street': {'id': 1678686, 'name': 'On or near St Margaret Street'}, 'longitude': '-0.126317'}",,,,107815164,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516623', 'street': {'id': 1677604, 'name': 'On or near '}, 'longitude': '-0.132976'}",,,,107823913,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.507243', 'street': {'id': 1675873, 'name': 'On or near Clarges Street'}, 'longitude': '-0.145729'}",,,,107815110,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.513601', 'street': {'id': 1677939, 'name': 'On or near Frith Street'}, 'longitude': '-0.131534'}",,,,107815078,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.518043', 'street': {'id': 1679235, 'name': 'On or near '}, 'longitude': '-0.122651'}",,,,107823963,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.500280', 'street': {'id': 1680169, 'name': 'On or near '}, 'longitude': '-0.116091'}",,,,107822939,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.513575', 'street': {'id': 1676335, 'name': 'On or near Pollen Street'}, 'longitude': '-0.142373'}",,,,107824082,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.508653', 'street': {'id': 1679156, 'name': 'On or near York Buildings'}, 'longitude': '-0.122975'}",,,,107815047,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.508450', 'street': {'id': 1676091, 'name': 'On or near '}, 'longitude': '-0.143266'}",,,,107814850,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516295', 'street': {'id': 1678131, 'name': 'On or near '}, 'longitude': '-0.129487'}",,,,107824138,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.509044', 'street': {'id': 1679072, 'name': 'On or near John Adam Street'}, 'longitude': '-0.123247'}",,,,107824335,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.512419', 'street': {'id': 1677021, 'name': 'On or near Upper James Street'}, 'longitude': '-0.137520'}",,,,107824350,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.511574', 'street': {'id': 1678643, 'name': 'On or near Garrick Street'}, 'longitude': '-0.126271'}",,,,107814812,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515684', 'street': {'id': 1677259, 'name': 'On or near '}, 'longitude': '-0.135874'}",,,,107824532,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516820', 'street': {'id': 1678501, 'name': 'On or near Dyott Street'}, 'longitude': '-0.127583'}",,,,107824601,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.495936', 'street': {'id': 1676456, 'name': 'On or near Carlisle Place'}, 'longitude': '-0.141491'}",,,,107814720,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.518897', 'street': {'id': 1680092, 'name': 'On or near Red Lion Street'}, 'longitude': '-0.116904'}",,,,107824684,,2023-01
