crime_id,crime_type,month,latitude,longitude,street_name,outcome,force_id,neighbourhood_id
106688033,anti-social-behaviour,2022-11,52.516602,-1.830975,On or near Firtree Road,,west-midlands,BE001
106688295,anti-social-behaviour,2022-11,52.530659,-1.855804,On or near The Parklands,,west-midlands,BE001
106688309,anti-social-behaviour,2022-11,52.537778,-1.834904,On or near Sheffield Road,,west-midlands,BE001
106689872,anti-social-behaviour,2022-11,52.520774,-1.851990,On or near Mere Street,,west-midlands,BE001
106687816,anti-social-behaviour,2022-11,52.532147,-1.832065,On or near Beechmount Drive,,west-midlands,BE001
106687852,anti-social-behaviour,2022-11,52.533607,-1.828197,On or near ,,west-midlands,BE001
106688078,anti-social-behaviour,2022-11,52.533607,-1.828197,On or near ,,west-midlands,BE001
106689857,anti-social-behaviour,2022-11,52.531153,-1.828266,On or near Silver Birch Road,,west-midlands,BE001
106688998,anti-social-behaviour,2022-11,52.528038,-1.838331,On or near St Georges Avenue,,west-midlands,BE001
106688284,anti-social-behaviour,2022-11,52.523570,-1.838111,On or near ,,west-midlands,BE001
106688805,anti-social-behaviour,2022-11,52.526442,-1.834681,On or near ,,west-midlands,BE001
106687199,anti-social-behaviour,2022-11,52.529679,-1.835141,On or near Sir Benjamin Stone Way,,west-midlands,BE001
106687484,anti-social-behaviour,2022-11,52.525787,-1.856380,On or near Draycott Avenue,,west-midlands,BE001
106687507,anti-social-behaviour,2022-11,52.533607,-1.828197,On or near ,,west-midlands,BE001
106689076,anti-social-behaviour,2022-11,52.531448,-1.854592,On or near Finsbury Grove,,west-midlands,BE001
106689807,anti-social-behaviour,2022-11,52.532147,-1.832065,On or near Beechmount Drive,,west-midlands,BE001
106688008,anti-social-behaviour,2022-11,52.535606,-1.836961,On or near B4142,,west-midlands,BE001
106687765,anti-social-behaviour,2022-11,52.523516,-1.844523,On or near Oxford Road,,west-midlands,BE001
106689002,anti-social-behaviour,2022-11,52.533954,-1.832102,On or near Rogerfield Road,,west-midlands,BE001
106627550,bicycle-theft,2022-11,52.533405,-1.837898,On or near Somerton Drive,Investigation complete; no suspect identified,west-midlands,BE001
106639256,bicycle-theft,2022-11,52.519770,-1.833719,On or near Spring Lane,Investigation complete; no suspect identified,west-midlands,BE001
106674281,bicycle-theft,2022-11,52.525131,-1.835555,On or near Mason Road,Investigation complete; no suspect identified,west-midlands,BE001
106677533,bicycle-theft,2022-11,52.532762,-1.855826,On or near Glendon Road,Investigation complete; no suspect identified,west-midlands,BE001
106641460,bicycle-theft,2022-11,52.525243,-1.852770,On or near Chudleigh Road,Investigation complete; no suspect identified,west-midlands,BE001
106674924,bicycle-theft,2022-11,52.520774,-1.851990,On or near Mere Street,Investigation complete; no suspect identified,west-midlands,BE001
106643075,burglary,2022-11,52.531188,-1.841105,On or near Gravelly Lane,Investigation complete; no suspect identified,west-midlands,BE001
106645918,burglary,2022-11,52.529031,-1.841526,On or near B4142,Unable to prosecute suspect,west-midlands,BE001
106642544,burglary,2022-11,52.529679,-1.835141,On or near Sir Benjamin Stone Way,Investigation complete; no suspect identified,west-midlands,BE001
106676214,burglary,2022-11,52.530659,-1.855804,On or near The Parklands,Investigation complete; no suspect identified,west-midlands,BE001
106640843,burglary,2022-11,52.531188,-1.841105,On or near Gravelly Lane,Investigation complete; no suspect identified,west-midlands,BE001
106634052,burglary,2022-11,52.525143,-1.837781,On or near ,Investigation complete; no suspect identified,west-midlands,BE001
106640492,burglary,2022-11,52.529531,-1.825958,On or near Goodison Gardens,Investigation complete; no suspect identified,west-midlands,BE001
106665587,burglary,2022-11,52.526442,-1.834681,On or near ,Unable to prosecute suspect,west-midlands,BE001
106675290,burglary,2022-11,52.523873,-1.817549,On or near The Feldings,Unable to prosecute suspect,west-midlands,BE001
106675846,burglary,2022-11,52.517764,-1.845781,On or near Jaffray Road,Investigation complete; no suspect identified,west-midlands,BE001
106657888,burglary,2022-11,52.523293,-1.814722,On or near Pype Hayes Close,Investigation complete; no suspect identified,west-midlands,BE001
106650988,burglary,2022-11,52.537001,-1.837900,On or near Cherry Lane,Investigation complete; no suspect identified,west-midlands,BE001
106667243,burglary,2022-11,52.523183,-1.851908,On or near Reservoir Road,Unable to prosecute suspect,west-midlands,BE001
106650320,burglary,2022-11,52.521249,-1.837088,On or near Church Road,Investigation complete; no suspect identified,west-midlands,BE001
