crime_id,crime_type,month,latitude,longitude,street_name,outcome,force_id,neighbourhood_id
107175701,violent-crime,2022-12,53.497759,-2.175216,On or near Workesleigh Street,Investigation complete; no suspect identified,greater-manchester,AC02
107175701,violent-crime,2022-12,53.497759,-2.175216,On or near Workesleigh Street,Investigation complete; no suspect identified,greater-manchester,AC04
124976622,public-order,2022-12,53.486334,-2.276165,Salford Crescent (station),Status update unavailable,greater-manchester,AC07
124976621,public-order,2022-12,53.486334,-2.276165,Salford Crescent (station),Status update unavailable,greater-manchester,AC07
124975298,public-order,2022-12,53.474173,-2.253570,Deansgate (station),Status update unavailable,greater-manchester,AC07
107257399,violent-crime,2022-12,53.482811,-2.242573,On or near Market Street,Status update unavailable,greater-manchester,AC07
124976177,bicycle-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124976178,criminal-damage-arson,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124976179,drugs,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124976181,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124976180,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124976182,possession-of-weapons,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124976183,public-order,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124975298,public-order,2022-12,53.474173,-2.253570,Deansgate (station),Status update unavailable,greater-manchester,AC12
124976184,robbery,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124976185,shoplifting,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124976187,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
124976186,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
107257399,violent-crime,2022-12,53.482811,-2.242573,On or near Market Street,Status update unavailable,greater-manchester,AC12
124976188,violent-crime,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC12
106961375,other-crime,2022-12,53.499930,-2.239867,On or near Larch Gardens,Status update unavailable,greater-manchester,AC13
107257399,violent-crime,2022-12,53.482811,-2.242573,On or near Market Street,Status update unavailable,greater-manchester,AC15
106961375,other-crime,2022-12,53.499930,-2.239867,On or near Larch Gardens,Status update unavailable,greater-manchester,AC15
106961375,other-crime,2022-12,53.499930,-2.239867,On or near Larch Gardens,Status update unavailable,greater-manchester,AC16
106961375,other-crime,2022-12,53.499930,-2.239867,On or near Larch Gardens,Status update unavailable,greater-manchester,AC19
124976177,bicycle-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976178,criminal-damage-arson,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976179,drugs,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976181,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976180,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976182,possession-of-weapons,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976183,public-order,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976184,robbery,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976185,shoplifting,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976186,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976187,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
124976188,violent-crime,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC23
107257399,violent-crime,2022-12,53.482811,-2.242573,On or near Market Street,Status update unavailable,greater-manchester,AC23
124976177,bicycle-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976178,criminal-damage-arson,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976179,drugs,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976181,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976180,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976182,possession-of-weapons,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976183,public-order,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976184,robbery,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976185,shoplifting,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976186,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976187,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
124976188,violent-crime,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC24
107257399,violent-crime,2022-12,53.482811,-2.242573,On or near Market Street,Status update unavailable,greater-manchester,AC24
124976177,bicycle-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976178,criminal-damage-arson,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976179,drugs,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976181,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976180,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976182,possession-of-weapons,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124975298,public-order,2022-12,53.474173,-2.253570,Deansgate (station),Status update unavailable,greater-manchester,AC25
124976183,public-order,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976184,robbery,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976185,shoplifting,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976187,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976186,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
107257399,violent-crime,2022-12,53.482811,-2.242573,On or near Market Street,Status update unavailable,greater-manchester,AC25
124976188,violent-crime,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC25
124976177,bicycle-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976178,criminal-damage-arson,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976179,drugs,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976181,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976180,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976182,possession-of-weapons,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124975298,public-order,2022-12,53.474173,-2.253570,Deansgate (station),Status update unavailable,greater-manchester,AC26
124976183,public-order,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976184,robbery,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976185,shoplifting,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976186,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976187,theft-from-the-person,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
124976188,violent-crime,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC26
107257399,violent-crime,2022-12,53.482811,-2.242573,On or near Market Street,Status update unavailable,greater-manchester,AC26
124976177,bicycle-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC27
124976178,criminal-damage-arson,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC27
124976179,drugs,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC27
124976181,other-theft,2022-12,53.475776,-2.231700,Manchester Piccadilly (station),Status update unavailable,greater-manchester,AC27
