crime_id,crime_type,month,latitude,longitude,street_name,outcome,force_id,neighbourhood_id
107071166,anti-social-behaviour,2022-12,53.829502,-1.711566,On or near ,,west-yorkshire,BDT_BE
107070845,anti-social-behaviour,2022-12,53.822334,-1.709853,On or near Osterley Grove,,west-yorkshire,BDT_BE
107071280,anti-social-behaviour,2022-12,53.828272,-1.704920,On or near Ravenscliffe Road,,west-yorkshire,BDT_BE
107071076,anti-social-behaviour,2022-12,53.810130,-1.710363,On or near Foston Close,,west-yorkshire,BDT_BE
107072527,anti-social-behaviour,2022-12,53.826680,-1.711722,On or near Rowlestone Rise,,west-yorkshire,BDT_BE
107072422,anti-social-behaviour,2022-12,53.824591,-1.721732,On or near Faltis Square,,west-yorkshire,BDT_BE
107072420,anti-social-behaviour,2022-12,53.824577,-1.731273,On or near ,,west-yorkshire,BDT_BE
107072242,anti-social-behaviour,2022-12,53.829502,-1.711566,On or near ,,west-yorkshire,BDT_BE
107072171,anti-social-behaviour,2022-12,53.823642,-1.708128,On or near Poplarwood Gardens,,west-yorkshire,BDT_BE
107072085,anti-social-behaviour,2022-12,53.821132,-1.726115,On or near Institute Road,,west-yorkshire,BDT_BE
107071681,anti-social-behaviour,2022-12,53.824577,-1.731273,On or near ,,west-yorkshire,BDT_BE
107071466,anti-social-behaviour,2022-12,53.821923,-1.738262,On or near Howarth Avenue,,west-yorkshire,BDT_BE
107071691,anti-social-behaviour,2022-12,53.810640,-1.713138,On or near Flaxton Green,,west-yorkshire,BDT_BE
107071314,anti-social-behaviour,2022-12,53.825521,-1.743678,On or near Wrose Road,,west-yorkshire,BDT_BE
107070519,anti-social-behaviour,2022-12,53.815928,-1.718357,On or near Kimberwicke Walk,,west-yorkshire,BDT_BE
107071367,anti-social-behaviour,2022-12,53.823140,-1.708739,On or near Rowanwood Gardens,,west-yorkshire,BDT_BE
107070641,anti-social-behaviour,2022-12,53.833665,-1.727735,On or near Woodfield Close,,west-yorkshire,BDT_BE
107070496,anti-social-behaviour,2022-12,53.810801,-1.736190,On or near Valley View Grove,,west-yorkshire,BDT_BE
107070500,anti-social-behaviour,2022-12,53.820390,-1.708788,On or near Holywell Drive,,west-yorkshire,BDT_BE
107070508,anti-social-behaviour,2022-12,53.821882,-1.708763,On or near Ranelagh Avenue,,west-yorkshire,BDT_BE
107070515,anti-social-behaviour,2022-12,53.834972,-1.729216,On or near Lumby Street,,west-yorkshire,BDT_BE
107070716,anti-social-behaviour,2022-12,53.820390,-1.708788,On or near Holywell Drive,,west-yorkshire,BDT_BE
107070838,anti-social-behaviour,2022-12,53.820056,-1.708092,On or near Low Rein Drive,,west-yorkshire,BDT_BE
107070842,anti-social-behaviour,2022-12,53.811843,-1.731901,On or near Strathmore Close,,west-yorkshire,BDT_BE
107071136,anti-social-behaviour,2022-12,53.829502,-1.711566,On or near ,,west-yorkshire,BDT_BE
107071138,anti-social-behaviour,2022-12,53.823401,-1.719902,On or near Straightacres Lane,,west-yorkshire,BDT_BE
107041910,bicycle-theft,2022-12,53.813614,-1.732315,On or near Pelham Road,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107060947,burglary,2022-12,53.816873,-1.714888,On or near Wharncliffe Grove,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107064399,burglary,2022-12,53.833282,-1.729318,On or near Christophers Court,Court result unavailable,west-yorkshire,BDT_BE
107060090,burglary,2022-12,53.818938,-1.733435,On or near Bolton Drive,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107044889,burglary,2022-12,53.809827,-1.726811,On or near Charnwood Road,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107055363,burglary,2022-12,53.831954,-1.726242,On or near Applehaigh Close,Unable to prosecute suspect,west-yorkshire,BDT_BE
107049515,burglary,2022-12,53.819925,-1.709809,On or near Roundwood Avenue,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107061228,burglary,2022-12,53.808481,-1.716205,On or near St Clare's Avenue,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107050735,burglary,2022-12,53.819925,-1.709809,On or near Roundwood Avenue,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107032521,burglary,2022-12,53.808561,-1.719667,On or near Moorside Terrace,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107033061,burglary,2022-12,53.827418,-1.712279,On or near Brookfield Drive,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107057232,burglary,2022-12,53.831954,-1.726242,On or near Applehaigh Close,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107050487,burglary,2022-12,53.831723,-1.713581,On or near ,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107042826,burglary,2022-12,53.828135,-1.730475,On or near Arthur Street,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107067950,burglary,2022-12,53.821238,-1.709876,On or near Hallwood Green,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107036543,burglary,2022-12,53.827418,-1.712279,On or near Brookfield Drive,Offender given a caution,west-yorkshire,BDT_BE
107051539,burglary,2022-12,53.808174,-1.719275,On or near Moorside Meadows,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107069664,burglary,2022-12,53.828397,-1.715463,On or near The Drive,Investigation complete; no suspect identified,west-yorkshire,BDT_BE
107035921,burglary,2022-12,53.824872,-1.738608,On or near Willowfield Crescent,Unable to prosecute suspect,west-yorkshire,BDT_BE
